Ship Mode,Segment,Postal Code,Region,Sub-Category,Sales,Quantity,Discount,Profit per sale
0,1,60623,1,2,75.6,2,0.8,-2.2
0,1,43130,3,12,4499.985,5,0.7,-1.5
3,2,27217,2,12,7999.98,4,0.5,-0.5
0,1,60610,1,2,53.088,7,0.8,-2.1
0,3,76106,1,2,68.81,5,0.8,-1.9
0,3,80027,4,12,2549.985,5,0.7,-1.4
0,2,79762,1,2,13.762,1,0.8,-1.9
1,1,43055,3,12,1799.994,2,0.7,-1.5
2,1,28027,2,17,4297.644,13,0.4,-0.5
0,3,32216,2,12,22638.48,6,0.5,-0.1
1,1,75043,1,4,18.336,4,0.8,-1.8
0,1,60610,1,4,4.6,2,0.8,-1.8
0,1,60610,1,4,10.43,5,0.8,-1.8
0,1,75701,1,4,182.994,3,0.8,-1.8
0,1,77340,1,4,10.43,7,0.8,-1.8
0,1,78041,1,4,6.286,7,0.8,-1.8
0,1,78501,1,4,4.752,4,0.8,-1.7
0,1,78745,1,4,2.772,7,0.8,-1.9
2,2,60505,1,4,94.192,7,0.8,-1.8
0,2,62521,1,4,182.994,3,0.8,-1.8
3,3,77803,1,4,7.536,6,0.8,-1.8
2,3,77036,1,4,5.8,5,0.8,-1.8
1,1,60653,1,4,17.46,6,0.8,-1.8
2,1,76706,1,4,243.992,4,0.8,-1.8
2,1,78207,1,4,3.564,3,0.8,-1.7
0,1,60623,1,4,17.904,6,0.8,-1.8
0,1,75007,1,4,2.512,2,0.8,-1.6
0,1,75220,1,2,7.96,2,0.8,-1.8
0,1,77036,1,4,3.564,3,0.8,-1.7
0,1,77041,1,4,2.694,3,0.8,-1.9
0,1,77041,1,4,9.648,6,0.8,-1.8
1,2,60076,1,4,9.36,4,0.8,-1.8
1,2,76021,1,4,12.864,8,0.8,-1.8
2,2,60653,1,4,3.564,3,0.8,-1.7
2,2,60653,1,4,3.564,3,0.8,-1.7
0,2,75217,1,4,1.044,1,0.8,-2.0
0,3,60623,1,4,13.456,1,0.8,-1.8
0,3,75217,1,4,3.96,10,0.8,-1.8
0,3,77036,1,4,4.47,3,0.8,-1.8
0,1,60543,1,4,304.99,5,0.8,-1.8
0,1,77041,1,4,6.9,3,0.8,-1.8
0,2,77340,1,4,0.898,1,0.8,-2.3
2,3,77070,1,4,1.524,2,0.8,-2.0
0,3,78207,1,4,3.592,4,0.8,-1.7
1,1,60016,1,4,2.892,3,0.8,-1.8
2,1,60540,1,4,7.656,6,0.8,-1.7
2,1,60623,1,4,13.468,13,0.8,-1.8
2,1,77070,1,4,18.24,3,0.8,-1.7
0,1,60543,1,4,3.828,3,0.8,-1.9
0,1,60653,1,4,2.296,2,0.8,-1.8
0,1,75220,1,4,6.744,4,0.8,-1.7
0,1,77041,1,4,1.192,2,0.8,-1.7
0,1,77041,1,4,2.296,2,0.8,-1.8
0,1,77041,1,4,1088.792,4,0.8,-1.8
0,1,78207,1,4,2177.584,8,0.8,-1.8
1,1,75081,1,4,30.96,8,0.8,-1.8
1,1,76106,1,4,4.984,1,0.8,-1.7
0,1,19140,3,5,3083.43,7,0.5,-0.6
3,1,77041,1,4,1.112,2,0.8,-1.8
0,1,78207,1,12,8159.952,8,0.4,-0.2
0,1,60610,1,4,5.104,4,0.8,-1.8
0,1,60610,1,4,8.134,7,0.8,-1.8
0,1,60610,1,4,8.69,5,0.8,-1.8
0,1,60610,1,4,8.808,3,0.8,-1.8
0,1,60623,1,4,1.788,3,0.8,-1.7
0,1,60623,1,4,8.568,3,0.8,-1.8
0,1,60653,1,4,1.908,3,0.8,-1.6
0,1,60653,1,4,12.128,4,0.8,-1.8
0,1,75217,1,4,1.788,3,0.8,-1.7
0,1,76706,1,4,2.072,2,0.8,-2.0
0,1,77041,1,4,2.934,3,0.8,-1.8
0,1,77070,1,4,2.934,3,0.8,-1.8
0,1,77095,1,4,26.046,3,0.8,-1.7
0,1,78207,1,4,1.272,2,0.8,-1.6
0,1,79424,1,4,6.08,1,0.8,-1.7
1,2,77041,1,4,6.816,2,0.8,-1.8
1,2,77041,1,4,26.046,3,0.8,-1.7
3,2,76706,1,4,0.556,1,0.8,-1.8
0,2,75007,1,4,3.318,3,0.8,-1.9
0,2,76106,1,4,11.06,10,0.8,-1.8
0,2,78207,1,4,8.568,3,0.8,-1.8
0,2,78207,1,4,23.912,2,0.8,-1.8
2,3,60653,1,4,8.682,1,0.8,-1.8
0,3,60610,1,4,1.788,3,0.8,-1.7
2,1,19134,3,16,4663.736,7,0.2,-0.3
1,1,60653,1,4,2.89,1,0.8,-1.8
1,1,61604,1,4,3.98,5,0.8,-1.8
1,1,62301,1,4,1.964,2,0.8,-1.6
1,1,75081,1,4,10.024,4,0.8,-1.7
2,1,75220,1,4,1.72,1,0.8,-1.8
0,1,60653,1,4,3.036,3,0.8,-1.7
0,1,77095,1,4,1.188,1,0.8,-1.7
0,1,77095,1,4,2.896,1,0.8,-1.8
0,1,77340,1,4,13.748,14,0.8,-1.7
1,2,61107,1,4,442.372,7,0.8,-1.7
2,2,61604,1,4,12.462,3,0.8,-1.7
0,2,75081,1,4,1.964,2,0.8,-1.6
0,2,75081,1,4,12.222,7,0.8,-1.7
0,2,75220,1,4,6.316,1,0.8,-1.6
0,2,78501,1,4,1.996,1,0.8,-1.6
3,3,77803,1,4,1.408,2,0.8,-1.5
0,3,61107,1,4,11.416,4,0.8,-1.7
0,3,75081,1,4,5.792,2,0.8,-1.8
1,1,75081,1,4,13.14,9,0.8,-1.7
1,1,77036,1,4,3.648,3,0.8,-1.7
1,1,78539,1,4,2.068,1,0.8,-1.5
2,1,60441,1,4,8.952,2,0.8,-1.7
2,1,60610,1,4,4.788,3,0.8,-1.7
2,1,77070,1,4,2.08,5,0.8,-1.5
0,1,60610,1,4,3.208,2,0.8,-1.6
0,1,60653,1,4,2.182,1,0.8,-1.9
0,1,60653,1,4,2.946,3,0.8,-1.7
0,1,75007,1,4,310.392,4,0.8,-1.7
0,1,77070,1,4,252.784,4,0.8,-1.7
0,1,77095,1,4,896.99,5,0.8,-1.7
0,2,60623,1,4,14.48,5,0.8,-1.7
0,2,76017,1,4,8.272,4,0.8,-1.7
0,2,76106,1,4,7.98,5,0.8,-1.7
0,2,77581,1,4,11.228,7,0.8,-1.7
1,3,77036,1,4,2.92,2,0.8,-1.8
0,3,60440,1,4,9.98,5,0.8,-1.7
0,3,60610,1,4,104.58,9,0.8,-1.7
0,1,60653,1,4,1.592,2,0.8,-1.9
0,1,77095,1,4,10.476,6,0.8,-1.7
1,1,61107,1,4,33.568,8,0.8,-1.7
1,1,77571,1,4,16.392,2,0.8,-1.6
1,1,78745,1,4,32.784,4,0.8,-1.6
3,1,77041,1,4,3.798,1,0.8,-1.6
2,1,77705,1,4,10.78,5,0.8,-1.6
0,1,60540,1,4,2.808,3,0.8,-1.5
0,1,60623,1,4,1.728,4,0.8,-1.8
0,1,75081,1,4,3.168,3,0.8,-1.6
0,1,75081,1,4,40.98,5,0.8,-1.7
0,1,77036,1,4,12.588,3,0.8,-1.6
0,1,77041,1,4,4.312,2,0.8,-1.7
0,1,77041,1,4,10.78,5,0.8,-1.6
0,1,78207,1,4,16.784,4,0.8,-1.7
3,2,78207,1,4,210.392,2,0.8,-1.7
2,2,60505,1,4,2.864,4,0.8,-1.8
2,2,78415,1,4,8.552,2,0.8,-1.7
2,2,78501,1,4,4.312,2,0.8,-1.7
0,2,61604,1,4,1.68,5,0.8,-1.8
0,2,77803,1,4,22.386,7,0.8,-1.7
0,2,78207,1,4,5.728,8,0.8,-1.6
0,3,61832,1,4,43.372,7,0.8,-1.6
0,3,75217,1,4,8.856,9,0.8,-1.6
1,1,77506,1,4,6.928,1,0.8,-1.6
2,1,60653,1,4,42.616,7,0.8,-1.6
0,1,60623,1,4,2.112,2,0.8,-1.5
0,1,75051,1,4,3.656,4,0.8,-1.7
0,1,75220,1,4,1.08,3,0.8,-1.9
0,1,77041,1,4,32.06,10,0.8,-1.6
0,1,77070,1,4,12.384,3,0.8,-1.7
0,1,77095,1,4,1.234,1,0.8,-1.7
0,1,77095,1,4,15.624,2,0.8,-1.7
1,2,60623,1,4,16.03,5,0.8,-1.7
1,2,62301,1,4,3.24,9,0.8,-1.6
1,2,76017,1,4,42.616,7,0.8,-1.6
3,2,75150,1,4,0.876,1,0.8,-1.2
2,2,61107,1,4,13.84,4,0.8,-1.6
2,2,78041,1,4,2.286,3,0.8,-1.8
0,2,60623,1,4,0.836,1,0.8,-1.2
0,2,60623,1,4,1.8,5,0.8,-1.7
0,2,76017,1,4,1.344,4,0.8,-1.5
0,2,77340,1,4,11.98,5,0.8,-1.6
0,2,78207,1,4,29.372,7,0.8,-1.7
1,3,77095,1,4,41.568,6,0.8,-1.7
0,3,75081,1,4,6.888,3,0.8,-1.6
0,3,77095,1,4,13.776,6,0.8,-1.6
0,2,75220,1,4,1.362,1,0.8,-1.5
0,3,77041,1,4,2.724,2,0.8,-1.5
1,3,37918,2,17,2314.116,7,0.4,-0.5
0,1,60035,1,4,2.88,5,0.8,-1.4
0,1,75220,1,4,21.38,5,0.8,-1.6
1,2,60076,1,4,2.304,4,0.8,-1.8
1,1,78745,1,4,4.276,1,0.8,-1.7
2,1,60610,1,4,1.928,2,0.8,-1.6
2,1,75701,1,4,51.184,4,0.8,-1.6
2,1,77070,1,4,5.18,5,0.8,-1.6
0,1,60076,1,4,12.176,4,0.8,-1.6
0,1,60098,1,4,8.85,5,0.8,-1.6
0,1,60623,1,4,24.588,3,0.8,-1.6
0,1,61107,1,4,1.728,3,0.8,-1.8
0,1,77070,1,4,25.68,3,0.8,-1.6
0,1,77095,1,4,6.216,6,0.8,-1.7
0,1,77095,1,4,6.33,5,0.8,-1.6
0,1,77095,1,4,12.176,4,0.8,-1.6
2,2,77041,1,4,34.24,4,0.8,-1.6
0,2,60653,1,4,1889.99,5,0.8,-1.6
0,2,78501,1,4,6.874,7,0.8,-1.7
0,2,78745,1,4,13.184,4,0.8,-1.6
1,3,77036,1,4,5.232,4,0.8,-1.6
0,3,60505,1,4,29.932,7,0.8,-1.6
0,3,60540,1,4,3.54,2,0.8,-1.5
0,3,77036,1,4,16.27,5,0.8,-1.6
0,3,79907,1,4,4.428,3,0.8,-1.6
1,1,75002,1,4,8.784,4,0.8,-1.6
0,1,76017,1,4,2.724,3,0.8,-1.5
0,1,77070,1,4,1.248,2,0.8,-1.7
0,1,78745,1,4,9.762,3,0.8,-1.6
1,2,77041,1,4,1.248,3,0.8,-1.7
2,2,78501,1,4,1.476,1,0.8,-1.4
0,2,60610,1,4,3.798,3,0.8,-1.6
0,2,75220,1,4,11.394,9,0.8,-1.6
0,2,77041,1,4,6.588,3,0.8,-1.6
0,2,77095,1,4,6.23,5,0.8,-1.7
3,3,77803,1,4,4.144,4,0.8,-1.5
2,3,77070,1,4,8.608,8,0.8,-1.6
0,3,60623,1,4,27.396,9,0.8,-1.6
2,1,60653,1,4,11.212,2,0.8,-1.6
0,1,62301,1,4,2.992,4,0.8,-1.4
1,2,60623,1,4,9.264,3,0.8,-1.6
0,2,60623,1,4,44.848,8,0.8,-1.5
0,2,78745,1,4,18.528,6,0.8,-1.6
3,3,60505,1,4,2.308,2,0.8,-1.3
0,3,75081,1,4,30.56,5,0.8,-1.6
0,3,77070,1,4,9.264,3,0.8,-1.6
1,1,60610,1,4,15.08,2,0.8,-1.6
1,1,77041,1,4,0.984,2,0.8,-1.1
1,1,77095,1,4,1525.188,6,0.8,-1.6
2,1,77095,1,4,21.99,5,0.8,-1.6
0,2,38401,2,17,1875.258,7,0.4,-0.6
0,1,61701,1,4,5.176,4,0.8,-1.6
0,1,75023,1,4,3.392,4,0.8,-1.5
0,1,75081,1,4,39.582,9,0.8,-1.5
0,1,77036,1,4,4.24,5,0.8,-1.5
0,1,77041,1,4,14.112,9,0.8,-1.5
0,1,77070,1,4,1.476,3,0.8,-1.4
0,1,77095,1,4,4.488,6,0.8,-1.6
0,1,77340,1,4,6.47,5,0.8,-1.6
0,1,78207,1,4,8.88,5,0.8,-1.5
1,2,75220,1,4,6.104,2,0.8,-1.5
0,2,60653,1,4,5.936,7,0.8,-1.6
0,2,75217,1,4,760.98,5,0.8,-1.5
0,2,76106,1,4,1.696,2,0.8,-1.8
0,2,77070,1,4,9.156,3,0.8,-1.6
0,2,77095,1,4,33.28,5,0.8,-1.6
0,2,77489,1,4,6.37,7,0.8,-1.6
0,2,44256,3,12,1188,9,0.7,-0.8
1,3,77095,1,4,7.68,5,0.8,-1.6
2,3,78745,1,4,3.882,3,0.8,-1.6
0,3,60653,1,4,762.594,3,0.8,-1.6
0,3,76017,1,4,11.646,9,0.8,-1.5
0,3,76106,1,4,2.544,3,0.8,-1.6
1,1,61032,1,4,96.784,4,0.8,-1.5
0,1,60623,1,4,3.168,2,0.8,-1.6
1,2,77536,1,4,6.924,6,0.8,-1.5
2,2,60653,1,4,11.364,3,0.8,-1.5
0,3,60035,1,4,3.136,2,0.8,-1.6
0,3,79424,1,4,11.364,3,0.8,-1.5
0,1,28205,2,12,2624.985,3,0.5,-0.4
1,3,81001,4,12,703.71,6,0.7,-1.4
1,2,45503,3,12,652.995,7,0.7,-1.5
0,3,85023,4,17,1272.63,6,0.5,-0.7
0,1,80906,4,5,590.058,7,0.7,-1.4
0,1,78664,1,16,3930.072,3,0.2,-0.2
2,2,44052,3,17,1421.664,8,0.4,-0.6
0,1,27217,2,17,1781.682,7,0.4,-0.4
2,2,19134,3,12,449.1,3,0.7,-1.5
0,3,19120,3,17,2065.32,12,0.4,-0.4
0,1,27834,2,12,1299.99,2,0.5,-0.5
2,1,60610,1,17,765.625,7,0.5,-0.8
0,2,19134,3,12,399.54,4,0.7,-1.4
0,1,77340,1,10,56.568,2,0.6,-1.4
0,3,77095,1,10,16.784,2,0.6,-1.4
0,1,60623,1,10,25.176,3,0.6,-1.4
0,1,77340,1,10,141.42,5,0.6,-1.4
0,1,60610,1,10,38.976,3,0.6,-1.4
0,1,77041,1,10,64.96,5,0.6,-1.3
0,1,76106,1,10,66.112,4,0.6,-1.3
0,1,77041,1,10,66.112,4,0.6,-1.3
2,3,60505,1,10,242.176,4,0.6,-1.3
2,2,78664,1,10,341.96,5,0.6,-1.3
0,3,77506,1,10,302.72,5,0.6,-1.3
0,1,60623,1,10,159.04,5,0.6,-1.3
0,3,60068,1,10,254.744,7,0.6,-1.3
0,1,61821,1,10,151.96,5,0.6,-1.2
2,2,60653,1,10,51.56,2,0.6,-1.3
2,3,60610,1,10,22.2,1,0.6,-1.2
0,3,60610,1,10,44.4,2,0.6,-1.2
3,1,60076,1,10,266.352,6,0.6,-1.2
0,3,60505,1,10,83.952,3,0.6,-1.1
0,1,78041,1,10,139.92,5,0.6,-1.1
2,1,60174,1,10,30.344,2,0.6,-1.1
0,2,77041,1,10,73.784,2,0.6,-1.1
0,1,77041,1,10,13.592,2,0.6,-1.1
0,2,75220,1,10,332.028,9,0.6,-1.1
0,1,75217,1,10,108.4,5,0.6,-1.0
0,2,75081,1,10,72.78,3,0.6,-1.0
0,2,10024,3,17,1071.576,4,0.4,-0.6
1,3,60653,1,10,84.272,2,0.6,-1.0
1,1,60016,1,10,8.544,2,0.6,-0.9
2,1,75007,1,10,15.992,2,0.6,-0.9
0,2,60623,1,10,8.544,2,0.6,-0.9
1,3,75043,1,10,8.544,2,0.6,-0.9
0,3,78745,1,10,7.996,1,0.6,-0.9
0,1,61107,1,17,626.1,3,0.5,-0.9
1,3,60505,1,17,796.425,7,0.5,-0.7
3,1,60505,1,10,77.72,1,0.6,-0.9
2,1,60610,1,10,419.68,5,0.6,-0.9
0,3,75217,1,10,16.74,5,0.6,-0.9
2,1,19143,3,4,121.104,6,0.7,-0.9
2,1,33012,2,4,5.388,4,0.7,-0.8
2,1,44105,3,4,41.256,6,0.7,-0.9
0,1,17602,3,4,5.715,5,0.7,-0.9
0,1,19134,3,4,5.346,3,0.7,-0.8
0,1,19134,3,4,33.282,3,0.7,-0.9
0,1,19140,3,4,6.858,6,0.7,-0.9
0,1,19140,3,4,274.491,3,0.7,-0.9
0,1,28601,2,4,4.572,4,0.7,-0.9
0,1,33178,2,4,121.104,6,0.7,-0.9
0,1,34952,2,4,2.694,2,0.7,-0.8
0,1,37421,2,4,3.564,2,0.7,-0.9
0,1,43130,3,4,8.952,2,0.7,-0.8
0,1,43229,3,4,7.236,3,0.7,-0.9
1,2,19143,3,4,1.188,2,0.7,-0.9
1,2,33801,2,4,3.768,2,0.7,-0.8
2,2,80538,4,4,1.188,2,0.7,-0.9
0,2,27405,2,4,12.06,5,0.7,-0.9
0,2,43615,3,4,55.47,5,0.7,-0.9
0,2,85023,4,4,551.985,5,0.7,-0.9
1,3,33012,2,4,398.352,8,0.7,-0.9
1,3,45373,3,4,5.715,5,0.7,-0.9
1,3,81001,4,4,17.904,4,0.7,-0.9
0,3,18103,3,4,99.588,2,0.7,-0.9
0,3,19120,3,4,5.715,5,0.7,-0.9
0,3,45373,3,4,121.104,6,0.7,-0.9
1,1,43615,3,4,6.258,2,0.7,-0.8
1,1,97206,4,4,4.158,7,0.7,-0.8
3,1,38401,2,4,13.428,3,0.7,-0.9
2,2,77036,1,12,3059.982,3,0.4,-0.2
0,1,19120,3,4,2.412,1,0.7,-0.9
0,1,19140,3,4,99.846,9,0.7,-0.9
0,1,45503,3,4,2.313,1,0.7,-0.9
1,2,45040,3,4,3.132,2,0.7,-1.0
2,2,19134,3,4,4.626,2,0.7,-0.9
0,2,97123,4,4,4.158,7,0.7,-0.8
0,3,19120,3,4,9.42,5,0.7,-0.9
0,3,43229,3,4,3.132,2,0.7,-1.0
3,1,77041,1,10,20.104,2,0.6,-0.9
0,1,60623,1,10,29.32,2,0.6,-0.9
1,3,80906,4,4,40.635,7,0.7,-0.9
1,1,19134,3,4,2.502,3,0.7,-0.8
0,1,19120,3,17,1252.704,8,0.4,-0.4
1,1,85254,4,4,4.401,3,0.7,-1.0
3,1,33437,2,4,37.425,5,0.7,-0.9
3,1,33614,2,4,12.645,5,0.7,-0.8
3,1,45503,3,4,27.36,3,0.7,-0.9
2,1,43229,3,4,2.502,3,0.7,-0.8
2,1,44312,3,4,25.56,5,0.7,-0.8
2,1,80525,4,4,3.168,4,0.7,-1.0
0,1,19120,3,4,11.61,2,0.7,-0.8
0,1,19140,3,4,50.997,1,0.7,-0.9
0,1,19143,3,4,1.908,2,0.7,-1.1
0,1,27604,2,4,30.828,7,0.7,-0.9
0,1,33024,2,4,7.506,9,0.7,-0.8
0,1,33180,2,4,62.88,4,0.7,-0.8
0,3,85364,4,12,599.985,5,0.7,-0.9
0,1,44105,3,4,58.17,5,0.7,-0.9
0,1,44312,3,4,14.952,2,0.7,-0.9
0,1,45014,3,4,13.023,1,0.7,-0.8
0,1,45231,3,4,5.229,3,0.7,-0.8
0,1,97756,4,4,31.32,10,0.7,-0.8
1,2,27604,2,4,2.892,2,0.7,-0.7
1,2,28540,2,4,15.66,5,0.7,-0.9
1,2,33801,2,4,78.6,5,0.7,-0.9
1,2,80906,4,4,78.6,5,0.7,-0.9
2,2,19120,3,4,7.476,1,0.7,-0.9
2,2,19134,3,4,51.897,1,0.7,-0.9
2,2,33023,2,4,20.232,8,0.7,-0.8
0,2,17602,3,4,44.91,6,0.7,-0.9
0,2,17602,3,4,81.438,7,0.7,-0.8
0,2,19120,3,4,3.486,2,0.7,-0.9
0,2,19134,3,4,4.923,3,0.7,-0.9
0,2,27834,2,4,17.616,4,0.7,-0.8
0,2,33317,2,4,4.662,3,0.7,-0.9
0,2,43229,3,4,2.862,3,0.7,-0.7
0,2,43229,3,4,29.94,4,0.7,-0.9
0,2,80134,4,4,2.376,3,0.7,-0.9
0,2,80134,4,4,14.952,2,0.7,-0.9
1,3,37918,2,4,27.36,3,0.7,-0.9
2,3,75220,1,10,15.008,4,0.6,-0.8
0,3,27217,2,4,1633.188,4,0.7,-0.9
0,3,37064,2,4,3.204,2,0.7,-1.0
0,3,38401,2,4,18.24,2,0.7,-0.9
0,3,44107,3,4,6.216,4,0.7,-0.9
0,3,44312,3,4,5.742,3,0.7,-0.9
1,1,19143,3,4,3.444,2,0.7,-0.9
1,1,28403,2,4,3.282,2,0.7,-1.0
1,1,43615,3,4,1.641,1,0.7,-0.7
2,1,28314,2,4,13.272,8,0.7,-0.9
0,2,80013,4,17,727.45,5,0.5,-0.7
2,1,77070,1,10,32.712,2,0.6,-0.8
0,1,19120,3,4,9.006,2,0.7,-0.8
0,1,19134,3,4,3.282,2,0.7,-1.0
0,1,19134,3,4,18.192,4,0.7,-0.9
0,1,19134,3,4,152.991,3,0.7,-0.8
0,1,33180,2,4,7.23,5,0.7,-0.9
0,1,43229,3,4,3.318,2,0.7,-1.0
0,1,77095,1,10,65.424,4,0.6,-0.8
0,1,85023,4,4,7.656,4,0.7,-0.8
1,2,45040,3,4,22.428,3,0.7,-0.9
2,2,19140,3,4,509.97,10,0.7,-0.9
2,2,28314,2,4,7.23,5,0.7,-0.9
0,2,19134,3,4,4.503,1,0.7,-0.9
0,2,19140,3,4,7.656,4,0.7,-0.8
0,2,19140,3,4,9.396,3,0.7,-0.9
0,2,19143,3,4,3.576,4,0.7,-0.9
0,2,32712,2,4,27.018,6,0.7,-0.9
0,2,33142,2,4,16.146,9,0.7,-0.9
0,2,43229,3,4,20.856,8,0.7,-0.9
0,2,43302,3,17,1548.99,9,0.4,-0.4
0,2,85023,4,4,5.214,2,0.7,-0.8
0,2,85705,4,4,5.214,2,0.7,-0.8
3,3,85364,4,4,44.856,6,0.7,-0.9
2,3,43130,3,4,12.201,7,0.7,-0.9
0,3,28205,2,4,35.784,7,0.7,-0.9
0,3,43615,3,4,22.428,3,0.7,-0.9
0,1,32216,2,17,933.262,4,0.45,-0.5
0,1,85023,4,17,801.6,5,0.5,-0.6
0,2,10024,3,17,1579.746,7,0.4,-0.3
2,1,60610,1,10,8.856,3,0.6,-0.8
0,1,75051,1,10,14.76,5,0.6,-0.8
1,2,75080,1,10,190.92,5,0.6,-0.8
0,2,75051,1,10,38.08,5,0.6,-0.8
0,2,75220,1,10,14.76,5,0.6,-0.8
0,3,75081,1,10,22.848,3,0.6,-0.8
0,2,33142,2,4,1345.485,5,0.7,-0.8
1,1,19143,3,4,538.194,2,0.7,-0.8
1,1,44107,3,4,7.218,3,0.7,-0.9
1,1,80027,4,4,9.552,8,0.7,-0.8
3,1,28205,2,4,68.541,11,0.7,-0.8
2,1,19134,3,4,5.607,1,0.7,-0.8
2,1,43123,3,4,3.648,2,0.7,-0.9
2,1,43229,3,4,76.776,4,0.7,-0.8
2,1,80013,4,4,9.612,6,0.7,-0.8
0,1,19120,3,4,9.555,5,0.7,-0.8
0,1,27405,2,4,7.644,4,0.7,-0.8
0,1,28205,2,4,22.911,7,0.7,-0.8
0,1,33178,2,4,11.214,2,0.7,-0.9
0,1,33614,2,4,7.218,3,0.7,-0.9
0,1,37211,2,4,11.277,3,0.7,-0.8
0,1,37604,2,4,5.97,5,0.7,-0.9
0,1,44105,3,4,59.913,7,0.7,-0.8
0,1,85023,4,4,2.388,2,0.7,-0.9
0,1,85023,4,4,18.18,4,0.7,-0.8
0,1,85301,4,4,8.559,1,0.7,-0.9
1,2,16602,3,4,4.419,3,0.7,-0.7
2,2,44035,3,4,1.824,1,0.7,-0.6
0,2,19140,3,4,5.97,5,0.7,-0.9
1,3,37918,2,4,34.236,4,0.7,-0.8
1,3,80013,4,4,76.776,4,0.7,-0.8
0,3,80027,4,4,12.03,5,0.7,-0.8
1,1,19140,3,4,6.57,3,0.7,-0.8
1,1,19143,3,4,3.273,1,0.7,-1.0
1,1,32216,2,4,17.43,1,0.7,-0.8
2,1,19140,3,4,26.064,6,0.7,-0.8
0,1,19134,3,4,4.956,4,0.7,-0.9
0,1,19140,3,4,3.168,3,0.7,-0.7
0,1,27360,2,4,3.204,2,0.7,-0.7
0,1,27405,2,4,51.465,5,0.7,-0.8
0,1,27893,2,4,6.408,4,0.7,-0.8
0,1,28540,2,4,12.843,3,0.7,-0.8
0,1,28540,2,4,13.092,4,0.7,-0.8
0,1,28540,2,4,95.97,5,0.7,-0.8
0,1,32216,2,4,4.812,2,0.7,-0.9
0,1,33024,2,4,4.554,3,0.7,-0.7
0,1,38109,2,4,1614.582,6,0.7,-0.8
0,1,85204,4,4,4.368,7,0.7,-0.7
0,1,97301,4,4,16.821,3,0.7,-0.8
1,2,19143,3,4,7.518,2,0.7,-0.8
